year,stateabbr,measure,avg_value,record_count
2023,US,Cholesterol screening among adults,86.55,2
2023,AL,Cholesterol screening among adults,85.9,2
2023,AL,Visits to doctor for routine checkup within the past year among adults,80.2,2
2023,US,Visits to doctor for routine checkup within the past year among adults,76.7,2
2022,US,Mammography use among women aged 50-74 years,76.25,2
2023,AL,Taking medicine to control high blood pressure among adults with high blood pressure,69.95,2
2023,US,Taking medicine to control high blood pressure among adults with high blood pressure,67.25,4
2022,US,Visited dentist or dental clinic in the past year among adults,63.65,2
2022,US,Colorectal cancer screening among adults aged 45–75 years,60.2,2
2023,AL,High blood pressure among adults,40.1,2
2022,US,Short sleep duration among adults,36.4,2
2023,US,High cholesterol among adults who have ever been screened,34.8,2
2023,US,Obesity among adults,32.85,2
2023,US,Loneliness among adults,32.6,2
2023,US,High blood pressure among adults,32.55,4
2023,US,Any disability among adults,29.15,2
2023,AL,Arthritis among adults,28.15,2
2023,US,No leisure-time physical activity among adults,24.1,2
2023,US,Lack of social and emotional support among adults,23.7,2
2023,US,Arthritis among adults,23.65,4
