year,stateabbr,statedesc,locationname,measure,data_value
2023,AL,Alabama,Baldwin,Cholesterol screening among adults,87.9
2023,AL,Alabama,Baldwin,Cholesterol screening among adults,87.9
2023,US,United States,nan,Cholesterol screening among adults,87.5
2023,US,United States,nan,Cholesterol screening among adults,87.5
2023,US,United States,nan,Cholesterol screening among adults,87.5
2023,AL,Alabama,Autauga,Cholesterol screening among adults,86.8
2023,AL,Alabama,Autauga,Cholesterol screening among adults,86.8
2023,AL,Alabama,Choctaw,Cholesterol screening among adults,86.8
2023,AL,Alabama,Autauga,Cholesterol screening among adults,86.8
2023,AL,Alabama,Choctaw,Cholesterol screening among adults,86.8
2023,AL,Alabama,Cherokee,Cholesterol screening among adults,86.4
2023,AL,Alabama,Cherokee,Cholesterol screening among adults,86.4
2023,AL,Alabama,Butler,Cholesterol screening among adults,86.1
2023,AL,Alabama,Butler,Cholesterol screening among adults,86.1
2023,AL,Alabama,Chambers,Cholesterol screening among adults,85.9
2023,AL,Alabama,Chambers,Cholesterol screening among adults,85.9
2023,US,United States,nan,Cholesterol screening among adults,85.6
2023,US,United States,nan,Cholesterol screening among adults,85.6
2023,US,United States,nan,Cholesterol screening among adults,85.6
2023,AL,Alabama,Autauga,Cholesterol screening among adults,85.0
2023,AL,Alabama,Blount,Cholesterol screening among adults,85.0
2023,AL,Alabama,Autauga,Cholesterol screening among adults,85.0
2023,AL,Alabama,Autauga,Cholesterol screening among adults,85.0
2023,AL,Alabama,Blount,Cholesterol screening among adults,85.0
2023,AL,Alabama,Baldwin,Cholesterol screening among adults,84.9
2023,AL,Alabama,Baldwin,Cholesterol screening among adults,84.9
2023,AL,Alabama,Chilton,Cholesterol screening among adults,84.8
2023,AL,Alabama,Chilton,Cholesterol screening among adults,84.8
2023,AL,Alabama,Calhoun,Cholesterol screening among adults,84.7
2023,AL,Alabama,Calhoun,Cholesterol screening among adults,84.7
2023,AL,Alabama,Barbour,Cholesterol screening among adults,84.2
2023,AL,Alabama,Barbour,Cholesterol screening among adults,84.2
2023,AL,Alabama,Bibb,Cholesterol screening among adults,83.6
2023,AL,Alabama,Bibb,Cholesterol screening among adults,83.6
2023,AL,Alabama,Calhoun,Cholesterol screening among adults,83.4
2023,AL,Alabama,Calhoun,Cholesterol screening among adults,83.4
2023,AL,Alabama,Choctaw,Visits to doctor for routine checkup within the past year among adults,83.3
2023,AL,Alabama,Choctaw,Visits to doctor for routine checkup within the past year among adults,83.3
2023,AL,Alabama,Chambers,Cholesterol screening among adults,83.2
2023,AL,Alabama,Butler,Cholesterol screening among adults,83.2
2023,AL,Alabama,Butler,Cholesterol screening among adults,83.2
2023,AL,Alabama,Chambers,Cholesterol screening among adults,83.2
2023,AL,Alabama,Chilton,Cholesterol screening among adults,82.9
2023,AL,Alabama,Chilton,Cholesterol screening among adults,82.9
2023,AL,Alabama,Choctaw,Taking medicine to control high blood pressure among adults with high blood pressure,82.8
2023,AL,Alabama,Choctaw,Taking medicine to control high blood pressure among adults with high blood pressure,82.8
2023,AL,Alabama,Butler,Visits to doctor for routine checkup within the past year among adults,82.8
2023,AL,Alabama,Choctaw,Cholesterol screening among adults,82.8
2023,AL,Alabama,Butler,Visits to doctor for routine checkup within the past year among adults,82.8
2023,AL,Alabama,Choctaw,Cholesterol screening among adults,82.8
2023,AL,Alabama,Bullock,Cholesterol screening among adults,82.6
2023,AL,Alabama,Bullock,Cholesterol screening among adults,82.6
2023,AL,Alabama,Blount,Cholesterol screening among adults,82.4
